File,Type,Lines,Functions,Classes,Module Docstring,Docstrings,Inline Comments,TODO/FIXME,Type Hints
.tmp\.tmp_import_models.py,Python,17,0,0,No,0,0,0,No
.tmp\.tmp_test_logbridge.py,Python,12,0,0,No,0,0,0,No
.tmp\.tmp_test_pipeline.py,Python,17,2,1,No,0,0,0,No
.tmp\.tmp_test_runvm.py,Python,30,2,2,No,0,0,0,No
auto_add_stubs.py,Python,147,2,0,Yes,2,1,1,Yes
check_audit.py,Python,38,0,0,Yes,0,0,0,No
docs\conf.py,Python,10,0,0,No,0,0,1,No
examples\detection_plugins_example.py,Python,202,5,0,Yes,5,0,0,No
geometry.py,Python,24,1,0,Yes,1,0,0,Yes
pendant_detections.py,Python,196,1,0,No,0,9,0,No
plugins\acq_file.py,Python,36,1,0,Yes,1,2,0,No
plugins\auto_adaptive_edge.py,Python,261,7,0,Yes,6,0,1,Yes
plugins\bezier_edge.py,Python,41,1,0,Yes,1,0,1,No
plugins\circle_edge.py,Python,78,2,0,Yes,2,0,0,No
plugins\detect_apex.py,Python,152,3,0,Yes,0,0,3,Yes
plugins\detect_drop.py,Python,286,3,2,Yes,2,3,1,Yes
plugins\detect_needle.py,Python,253,3,2,Yes,2,2,1,Yes
plugins\detect_roi.py,Python,204,3,0,Yes,0,1,3,Yes
plugins\detect_substrate.py,Python,185,3,0,Yes,1,0,1,Yes
plugins\edge_detectors.py,Python,542,14,12,Yes,8,0,0,Yes
plugins\geom_circle.py,Python,20,1,0,Yes,1,0,0,No
plugins\image_analysis_utilities.py,Python,213,2,0,Yes,2,5,0,Yes
plugins\optimizer_dummy.py,Python,14,1,0,Yes,1,0,0,No
plugins\output_json.py,Python,43,1,0,Yes,1,0,1,No
plugins\overlayer_simple.py,Python,42,1,0,Yes,1,0,1,No
plugins\physics_dummy.py,Python,41,1,0,Yes,1,0,1,No
plugins\preproc_auto_detect.py,Python,107,1,0,Yes,1,0,0,Yes
plugins\preproc_blur.py,Python,52,1,0,Yes,1,0,1,No
plugins\preproc_detect_drop.py,Python,300,3,0,Yes,3,8,0,Yes
plugins\preproc_detect_needle.py,Python,194,3,0,Yes,3,0,0,Yes
plugins\preproc_detect_roi.py,Python,154,3,0,Yes,3,0,0,Yes
plugins\preproc_detect_substrate.py,Python,116,2,0,Yes,2,0,0,Yes
plugins\scaler_identity.py,Python,42,1,0,Yes,1,0,1,No
plugins\simple_solver.py,Python,61,2,0,Yes,2,0,0,Yes
plugins\sine_edge.py,Python,77,2,0,Yes,2,0,0,No
plugins\toy_young_laplace.py,Python,20,1,0,Yes,1,0,0,No
plugins\validator_basic.py,Python,42,1,0,Yes,1,0,1,No
plugins\young_laplace_adsa.py,Python,250,5,2,Yes,4,7,4,Yes
pruebas\data\generate_data.py,Python,36,0,0,No,0,0,0,No
pruebas\drop_analysis_script.py,Python,172,1,0,No,0,1,0,No
pruebas\drop_analysis_script_v3.py,Python,214,1,0,No,0,0,0,No
pruebas\droplet_analysis.py,Python,507,13,1,Yes,11,5,0,No
pruebas\droplet_analysis_v2.py,Python,900,18,1,Yes,16,10,0,No
pruebas\droplet_analysis_v3.py,Python,1566,43,1,Yes,22,42,0,Yes
pruebas\script.py,Python,178,0,0,No,0,0,0,No
pruebas\sessile_analysis_v1.py,Python,1767,61,3,Yes,29,45,0,Yes
pruebas\test_geometry_helper_run.py,Python,25,0,0,No,0,0,0,No
scripts\add_gui_docstrings.py,Python,99,2,0,Yes,1,0,0,No
scripts\add_stub_docstrings.py,Python,177,2,0,Yes,1,1,5,No
scripts\find_unreferenced.py,Python,175,1,0,Yes,0,1,0,Yes
scripts\generate_docs.py,Python,99,4,0,Yes,0,6,0,No
scripts\generate_graph.py,Python,48,0,0,Yes,0,0,0,No
scripts\generate_legacy_map.py,Python,69,5,0,Yes,0,0,0,Yes
scripts\generate_recommendations.py,Python,65,0,0,Yes,0,2,0,No
scripts\import_all_menipy.py,Python,64,1,0,Yes,0,0,0,No
scripts\introspect_menipy.py,Python,39,0,0,Yes,0,0,0,No
scripts\merge_import_maps.py,Python,71,0,0,Yes,0,0,0,No
scripts\playground\droplet_analysis_skimage.py,Python,268,6,0,Yes,6,3,0,No
scripts\playground\droplet_snake_analysis.py,Python,261,7,0,Yes,6,5,0,No
scripts\playground\prueba.py,Python,377,3,0,No,0,9,0,No
scripts\playground\prueba2.py,Python,929,30,2,Yes,1,11,0,Yes
scripts\playground\sessile_calculations.py,Python,369,4,0,Yes,2,1,0,No
scripts\playground\sessile_calculations2.py,Python,591,9,0,Yes,6,7,0,No
scripts\playground\sessile_calculations3.py,Python,621,9,0,Yes,7,7,0,No
scripts\playground\sessile_detection_method.py,Python,239,3,0,Yes,2,1,0,No
scripts\playground\sessile_detection_method2.py,Python,333,6,0,Yes,5,0,0,No
scripts\playground\sessile_detections.py,Python,1577,20,0,Yes,8,26,0,Yes
scripts\playground\sessile_preprocessing_tests.py,Python,472,12,1,Yes,13,16,0,No
scripts\playground\synth_gen.py,Python,917,18,4,Yes,14,15,0,No
scripts\playground\synth_scripts.py,Python,20,0,0,No,0,0,0,No
scripts\playground\synth_val.py,Python,536,16,2,Yes,18,0,0,No
scripts\playground\test_real_images.py,Python,156,3,1,Yes,2,0,0,No
scripts\playground\validation_script.py,Python,150,3,0,Yes,3,0,0,No
scripts\test_sessile_qt.py,Python,1679,30,4,Yes,12,32,0,Yes
show_audit_summary.py,Python,45,0,0,Yes,0,0,4,No
show_undocumented.py,Python,43,0,0,Yes,0,0,0,No
src\__init__.py,Python,6,0,0,Yes,0,0,0,No
src\__main__.py,Python,9,0,0,Yes,0,0,0,No
src\menipy\__init__.py,Python,13,0,0,Yes,0,1,0,No
src\menipy\__main__.py,Python,7,0,0,Yes,0,0,0,No
src\menipy\cli.py,Python,320,8,0,Yes,0,6,0,Yes
src\menipy\cli\__init__.py,Python,197,6,0,Yes,0,6,0,Yes
src\menipy\common\__init__.py,Python,1,0,0,No,0,0,0,No
src\menipy\common\acquisition.py,Python,61,4,0,Yes,4,4,1,Yes
src\menipy\common\acquisition_stage.py,Python,95,1,0,Yes,1,1,0,Yes
src\menipy\common\auto_calibrator.py,Python,813,16,2,Yes,13,17,0,Yes
src\menipy\common\contour_smoothing.py,Python,359,5,0,Yes,2,1,0,Yes
src\menipy\common\detection_helpers.py,Python,217,4,0,Yes,1,1,0,Yes
src\menipy\common\edge_detection.py,Python,390,6,0,Yes,4,2,0,Yes
src\menipy\common\geometry.py,Python,584,11,0,Yes,4,2,0,Yes
src\menipy\common\image_utils.py,Python,60,2,0,Yes,1,0,0,Yes
src\menipy\common\material_db.py,Python,269,12,1,Yes,5,1,0,Yes
src\menipy\common\metrics.py,Python,42,2,0,Yes,1,0,0,Yes
src\menipy\common\optimization.py,Python,15,1,0,Yes,1,0,1,No
src\menipy\common\outputs.py,Python,18,1,0,Yes,1,0,0,No
src\menipy\common\overlay.py,Python,167,6,0,Yes,2,8,0,Yes
src\menipy\common\physics.py,Python,20,1,0,Yes,1,3,0,No
src\menipy\common\plugin_db.py,Python,278,14,1,Yes,2,1,0,Yes
src\menipy\common\plugin_loader.py,Python,229,13,1,Yes,13,0,0,Yes
src\menipy\common\plugin_settings.py,Python,64,3,0,Yes,2,0,0,Yes
src\menipy\common\plugins.py,Python,259,8,0,Yes,5,2,1,Yes
src\menipy\common\preprocessing.py,Python,244,5,0,Yes,0,3,0,Yes
src\menipy\common\preprocessing_helpers.py,Python,673,31,2,Yes,11,7,0,Yes
src\menipy\common\registry.py,Python,168,29,1,Yes,5,0,0,Yes
src\menipy\common\scaling.py,Python,13,1,0,Yes,1,0,0,No
src\menipy\common\solver.py,Python,175,7,0,Yes,1,6,0,Yes
src\menipy\common\units.py,Python,14,0,0,Yes,0,0,0,No
src\menipy\common\validation.py,Python,16,1,0,Yes,1,0,0,No
src\menipy\common\zold_detection.py,Python,4,0,0,Yes,0,0,0,No
src\menipy\gui\__init__.py,Python,10,0,0,Yes,0,0,0,No
src\menipy\gui\__main__.py,Python,10,0,0,Yes,0,1,0,No
src\menipy\gui\adsa_app.py,Python,70,2,0,Yes,1,0,0,No
src\menipy\gui\app.py,Python,144,7,0,Yes,0,4,0,Yes
src\menipy\gui\components\plugin_settings_widget.py,Python,272,9,1,Yes,5,2,0,Yes
src\menipy\gui\controllers\camera_manager.py,Python,130,5,1,Yes,5,2,0,Yes
