CA(EØ) [°];CA(EL) [°];CA(ER) [°];CA(C) [°];CA(PØ) [°];CA(PL) [°];CA(PR) [°];CA(TØ) [°];CA(TL) [°];CA(TR) [°];Volumen [µl];Ø [mm];Área de la base [mm²];Superficie de la gota [mm²];SL Tilt [°];IFT [mN/m];Fase de la gota;Fase ambiente;Sustrato;?(d) [g/cm³];?(a) [g/cm³];?? [g/cm³];X [mm];Y [mm];Inclinación [°];T(a) [°C];T(d) [°C];T(s) [°C];Presión [bar];Humedad [% HR];Tamaño de referencia [mm];Referencia [px/mm]
90,08;88,86;91,30;60,65;72,28;70,38;74,17;75,13;73,95;76,30;2,47;2,551;5,110;7,863;0,25;4,25;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
69,71;69,11;70,31;64,43;68,22;66,03;70,42;68,21;66,87;69,55;2,47;2,559;5,145;7,808;0,25;18,92;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
66,66;66,03;67,29;65,24;66,35;64,16;68,54;66,44;65,10;67,79;2,50;2,580;5,227;7,878;0,25;57,41;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
66,96;66,34;67,58;64,22;66,29;63,95;68,64;66,36;65,04;67,68;2,51;2,595;5,289;7,917;0,25;38,35;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
66,29;65,59;67,00;63,82;65,68;62,61;68,75;65,71;64,19;67,22;2,51;2,605;5,328;7,933;0,25;39,59;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
65,86;65,46;66,27;63,40;64,26;61,83;66,68;65,06;64,04;66,08;2,52;2,620;5,391;7,958;0,25;43,07;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
65,09;64,54;65,64;62,96;63,94;61,81;66,07;64,47;63,25;65,69;2,53;2,630;5,432;7,988;0,25;51,86;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
64,80;64,29;65,31;62,58;63,54;61,39;65,68;64,12;63,03;65,22;2,53;2,640;5,475;8,007;0,25;48,94;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
64,35;64,22;64,48;62,24;62,84;60,80;64,88;63,65;62,95;64,35;2,53;2,645;5,494;8,018;0,25;45,70;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
64,06;63,40;64,73;61,90;62,86;60,47;65,25;63,35;62,01;64,69;2,54;2,655;5,537;8,043;0,25;50,90;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
63,67;62,57;64,78;61,61;62,58;59,42;65,75;63,03;61,32;64,73;2,55;2,665;5,580;8,073;0,25;51,62;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
63,46;62,87;64,06;61,31;62,34;59,56;65,13;62,82;61,59;64,06;2,55;2,670;5,599;8,080;0,25;47,75;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
63,07;62,52;63,61;61,03;62,05;59,66;64,43;62,44;61,32;63,57;2,55;2,675;5,619;8,097;0,25;40,98;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
62,82;62,30;63,33;60,77;61,39;59,28;63,51;62,21;61,12;63,29;2,55;2,685;5,664;8,103;0,25;47,37;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
62,46;61,86;63,06;60,52;60,91;58,67;63,16;61,82;60,67;62,97;2,55;2,685;5,661;8,104;0,25;43,46;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
62,21;61,37;63,05;60,25;60,49;58,26;62,72;61,46;60,23;62,69;2,55;2,695;5,705;8,122;0,25;52,80;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
62,14;61,61;62,67;60,08;61,00;59,19;62,81;61,46;60,65;62,27;2,55;2,700;5,727;8,124;0,25;50,04;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
61,71;61,21;62,21;59,83;60,40;58,15;62,66;61,05;60,02;62,08;2,56;2,705;5,747;8,149;0,25;46,16;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
61,50;60,96;62,04;59,63;60,14;58,28;61,99;60,86;59,88;61,84;2,56;2,705;5,745;8,147;0,25;48,72;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
61,18;60,56;61,80;59,44;59,65;57,75;61,54;60,51;59,46;61,56;2,56;2,715;5,790;8,166;0,25;56,23;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
61,02;60,41;61,64;59,25;59,36;57,44;61,27;60,37;59,23;61,50;2,56;2,720;5,811;8,189;0,25;53,10;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
60,92;60,21;61,63;59,07;59,46;57,04;61,87;60,20;58,99;61,42;2,56;2,725;5,833;8,189;0,25;61,02;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
60,65;59,90;61,40;58,91;59,20;56,74;61,65;60,01;58,71;61,31;2,56;2,725;5,832;8,208;0,25;53,94;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
60,43;59,81;61,05;58,75;59,12;56,30;61,93;59,80;58,54;61,06;2,57;2,730;5,853;8,210;0,25;54,35;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
60,29;59,65;60,94;58,57;58,71;55,82;61,61;59,56;58,28;60,83;2,56;2,735;5,876;8,206;0,25;55,38;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
60,11;59,51;60,70;58,44;58,53;55,95;61,11;59,42;58,18;60,67;2,57;2,740;5,898;8,250;0,25;65,51;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
59,94;59,24;60,64;58,30;58,72;55,92;61,53;59,31;57,96;60,65;2,56;2,740;5,897;8,213;0,25;53,50;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
59,89;59,28;60,49;58,14;58,32;56,23;60,41;59,21;58,17;60,25;2,59;2,745;5,919;8,269;0,25;63,94;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
59,74;59,09;60,39;58,00;58,21;56,04;60,39;59,12;57,97;60,26;2,56;2,745;5,917;8,225;0,25;56,26;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
59,48;58,80;60,16;57,86;58,20;56,06;60,33;58,87;57,73;60,01;2,56;2,750;5,939;8,238;0,25;61,85;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
59,28;58,69;59,87;57,72;57,74;55,58;59,89;58,72;57,56;59,88;2,56;2,755;5,962;8,244;0,25;63,89;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
59,27;58,62;59,93;57,58;57,47;55,60;59,35;58,61;57,53;59,68;2,56;2,755;5,961;8,244;0,25;55,59;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
59,10;58,41;59,79;57,47;57,34;55,74;58,93;58,46;57,46;59,46;2,56;2,760;5,984;8,257;0,25;57,64;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
58,95;58,26;59,63;57,37;57,35;55,54;59,16;58,28;57,21;59,35;2,56;2,766;6,007;8,274;0,25;67,05;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
58,85;58,18;59,51;57,25;57,29;55,47;59,11;58,12;57,10;59,14;2,57;2,765;6,005;8,275;0,25;63,42;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
58,73;58,10;59,36;57,15;57,08;55,22;58,94;58,09;56,95;59,24;2,57;2,765;6,004;8,293;0,25;52,17;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
58,75;58,04;59,47;57,03;57,14;54,87;59,41;58,13;56,96;59,30;2,57;2,765;6,003;8,270;0,25;48,23;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
58,60;57,90;59,30;56,93;56,93;54,56;59,31;57,97;56,74;59,20;2,57;2,770;6,026;8,287;0,25;58,99;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
58,46;57,84;59,08;56,84;57,16;55,43;58,89;57,83;56,90;58,76;2,57;2,775;6,049;8,297;0,25;63,24;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
58,34;57,71;58,98;56,74;56,73;54,98;58,48;57,69;56,67;58,70;2,57;2,775;6,047;8,295;0,25;53,15;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
58,19;57,58;58,81;56,64;56,66;54,97;58,36;57,62;56,53;58,72;2,57;2,780;6,070;8,307;0,25;63,48;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
58,06;57,43;58,69;56,53;56,44;54,57;58,31;57,37;56,32;58,42;2,58;2,785;6,093;8,328;0,25;56,79;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
58,04;57,45;58,64;56,42;55,71;54,38;57,05;57,23;56,34;58,13;2,57;2,785;6,091;8,320;0,25;56,09;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
57,81;57,19;58,43;56,34;55,56;54,02;57,10;57,09;56,24;57,93;2,57;2,790;6,114;8,327;0,25;69,42;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
