# Menipy Drop Analysis Coordinates
# Image: gota pendiente 1.png
# Scale: 213.114754 px/mm

# NEEDLE BBOX (pixel space: x, y, width, height)
520, 0, 390, 123

# NEEDLE CONTACT POINTS (pixel space: Left_x, Left_y, Right_x, Right_y)
516, 123, 914, 124

# DROPLET CONTOUR COORDINATES (pixel space: x, y)
516.00, 123.00
914.00, 124.00
516.00, 123.00
516.00, 125.00
515.00, 126.00
515.00, 128.00
514.00, 129.00
514.00, 130.00
513.00, 131.00
513.00, 133.00
512.00, 134.00
512.00, 136.00
511.00, 137.00
511.00, 139.00
510.00, 140.00
510.00, 141.00
509.00, 142.00
509.00, 144.00
508.00, 145.00
508.00, 147.00
507.00, 148.00
507.00, 150.00
506.00, 151.00
506.00, 153.00
505.00, 154.00
505.00, 155.00
504.00, 156.00
504.00, 158.00
503.00, 159.00
503.00, 161.00
502.00, 162.00
502.00, 164.00
501.00, 165.00
501.00, 167.00
500.00, 168.00
500.00, 170.00
499.00, 171.00
499.00, 173.00
498.00, 174.00
498.00, 176.00
497.00, 177.00
497.00, 179.00
496.00, 180.00
496.00, 182.00
495.00, 183.00
495.00, 185.00
494.00, 186.00
494.00, 188.00
493.00, 189.00
493.00, 192.00
492.00, 193.00
492.00, 195.00
491.00, 196.00
491.00, 198.00
490.00, 199.00
490.00, 201.00
489.00, 202.00
489.00, 205.00
488.00, 206.00
488.00, 208.00
487.00, 209.00
487.00, 212.00
486.00, 213.00
486.00, 215.00
485.00, 216.00
485.00, 219.00
484.00, 220.00
484.00, 223.00
483.00, 224.00
483.00, 227.00
482.00, 228.00
482.00, 231.00
481.00, 232.00
481.00, 235.00
480.00, 236.00
480.00, 239.00
479.00, 240.00
479.00, 243.00
478.00, 244.00
478.00, 248.00
477.00, 249.00
477.00, 253.00
476.00, 254.00
476.00, 258.00
475.00, 259.00
475.00, 263.00
474.00, 264.00
474.00, 269.00
473.00, 270.00
473.00, 275.00
472.00, 276.00
472.00, 281.00
471.00, 282.00
471.00, 288.00
470.00, 289.00
470.00, 297.00
469.00, 298.00
469.00, 308.00
468.00, 309.00
468.00, 322.00
467.00, 323.00
467.00, 362.00
468.00, 363.00
468.00, 375.00
469.00, 376.00
469.00, 385.00
470.00, 386.00
470.00, 392.00
471.00, 393.00
471.00, 399.00
472.00, 400.00
472.00, 405.00
473.00, 406.00
473.00, 410.00
474.00, 411.00
474.00, 415.00
475.00, 416.00
475.00, 419.00
476.00, 420.00
476.00, 424.00
477.00, 425.00
477.00, 428.00
478.00, 429.00
478.00, 432.00
479.00, 433.00
479.00, 435.00
480.00, 436.00
480.00, 438.00
481.00, 439.00
481.00, 442.00
482.00, 443.00
482.00, 445.00
483.00, 446.00
483.00, 448.00
484.00, 449.00
484.00, 451.00
485.00, 452.00
485.00, 454.00
486.00, 455.00
486.00, 457.00
487.00, 458.00
487.00, 459.00
488.00, 460.00
488.00, 462.00
489.00, 463.00
489.00, 464.00
490.00, 465.00
490.00, 467.00
491.00, 468.00
491.00, 469.00
492.00, 470.00
492.00, 472.00
493.00, 473.00
493.00, 474.00
494.00, 475.00
494.00, 476.00
495.00, 477.00
495.00, 478.00
496.00, 479.00
496.00, 481.00
497.00, 482.00
497.00, 483.00
498.00, 484.00
498.00, 485.00
499.00, 486.00
499.00, 487.00
500.00, 488.00
500.00, 489.00
501.00, 490.00
501.00, 491.00
502.00, 492.00
502.00, 493.00
504.00, 495.00
504.00, 496.00
505.00, 497.00
505.00, 498.00
506.00, 499.00
506.00, 500.00
508.00, 502.00
508.00, 503.00
509.00, 504.00
509.00, 505.00
511.00, 507.00
511.00, 508.00
512.00, 509.00
512.00, 510.00
514.00, 512.00
514.00, 513.00
516.00, 515.00
516.00, 516.00
518.00, 518.00
518.00, 519.00
520.00, 521.00
520.00, 522.00
522.00, 524.00
522.00, 525.00
525.00, 528.00
525.00, 529.00
529.00, 533.00
529.00, 534.00
533.00, 538.00
533.00, 539.00
539.00, 545.00
539.00, 546.00
558.00, 565.00
559.00, 565.00
565.00, 571.00
566.00, 571.00
570.00, 575.00
571.00, 575.00
575.00, 579.00
576.00, 579.00
578.00, 581.00
579.00, 581.00
582.00, 584.00
583.00, 584.00
585.00, 586.00
586.00, 586.00
588.00, 588.00
589.00, 588.00
591.00, 590.00
592.00, 590.00
593.00, 591.00
594.00, 591.00
596.00, 593.00
597.00, 593.00
598.00, 594.00
599.00, 594.00
601.00, 596.00
602.00, 596.00
603.00, 597.00
604.00, 597.00
605.00, 598.00
606.00, 598.00
607.00, 599.00
608.00, 599.00
609.00, 600.00
610.00, 600.00
611.00, 601.00
612.00, 601.00
613.00, 602.00
614.00, 602.00
615.00, 603.00
616.00, 603.00
617.00, 604.00
618.00, 604.00
619.00, 605.00
620.00, 605.00
621.00, 606.00
622.00, 606.00
623.00, 607.00
625.00, 607.00
626.00, 608.00
627.00, 608.00
628.00, 609.00
630.00, 609.00
631.00, 610.00
632.00, 610.00
633.00, 611.00
635.00, 611.00
636.00, 612.00
638.00, 612.00
639.00, 613.00
640.00, 613.00
641.00, 614.00
643.00, 614.00
644.00, 615.00
646.00, 615.00
647.00, 616.00
650.00, 616.00
651.00, 617.00
653.00, 617.00
654.00, 618.00
657.00, 618.00
658.00, 619.00
661.00, 619.00
662.00, 620.00
665.00, 620.00
666.00, 621.00
670.00, 621.00
671.00, 622.00
675.00, 622.00
676.00, 623.00
681.00, 623.00
682.00, 624.00
689.00, 624.00
690.00, 625.00
700.00, 625.00
701.00, 626.00
730.00, 626.00
731.00, 625.00
741.00, 625.00
742.00, 624.00
749.00, 624.00
750.00, 623.00
755.00, 623.00
756.00, 622.00
760.00, 622.00
761.00, 621.00
765.00, 621.00
766.00, 620.00
769.00, 620.00
770.00, 619.00
773.00, 619.00
774.00, 618.00
777.00, 618.00
778.00, 617.00
780.00, 617.00
781.00, 616.00
784.00, 616.00
785.00, 615.00
787.00, 615.00
788.00, 614.00
790.00, 614.00
791.00, 613.00
793.00, 613.00
794.00, 612.00
795.00, 612.00
796.00, 611.00
798.00, 611.00
799.00, 610.00
801.00, 610.00
802.00, 609.00
803.00, 609.00
804.00, 608.00
805.00, 608.00
806.00, 607.00
808.00, 607.00
809.00, 606.00
810.00, 606.00
811.00, 605.00
812.00, 605.00
813.00, 604.00
814.00, 604.00
815.00, 603.00
817.00, 603.00
819.00, 601.00
821.00, 601.00
823.00, 599.00
824.00, 599.00
825.00, 598.00
826.00, 598.00
827.00, 597.00
828.00, 597.00
829.00, 596.00
830.00, 596.00
831.00, 595.00
832.00, 595.00
834.00, 593.00
835.00, 593.00
836.00, 592.00
837.00, 592.00
839.00, 590.00
840.00, 590.00
842.00, 588.00
843.00, 588.00
845.00, 586.00
846.00, 586.00
848.00, 584.00
849.00, 584.00
851.00, 582.00
852.00, 582.00
855.00, 579.00
856.00, 579.00
859.00, 576.00
860.00, 576.00
864.00, 572.00
865.00, 572.00
871.00, 566.00
872.00, 566.00
893.00, 545.00
893.00, 544.00
899.00, 538.00
899.00, 537.00
903.00, 533.00
903.00, 532.00
906.00, 529.00
906.00, 528.00
909.00, 525.00
909.00, 524.00
911.00, 522.00
911.00, 521.00
913.00, 519.00
913.00, 518.00
915.00, 516.00
915.00, 515.00
917.00, 513.00
917.00, 512.00
919.00, 510.00
919.00, 509.00
921.00, 507.00
921.00, 506.00
922.00, 505.00
922.00, 504.00
924.00, 502.00
924.00, 501.00
925.00, 500.00
925.00, 499.00
926.00, 498.00
926.00, 497.00
927.00, 496.00
927.00, 495.00
928.00, 494.00
928.00, 493.00
930.00, 491.00
930.00, 490.00
931.00, 489.00
931.00, 488.00
932.00, 487.00
932.00, 486.00
933.00, 485.00
933.00, 484.00
934.00, 483.00
934.00, 482.00
935.00, 481.00
935.00, 479.00
936.00, 478.00
936.00, 477.00
937.00, 476.00
937.00, 475.00
938.00, 474.00
938.00, 473.00
939.00, 472.00
939.00, 470.00
940.00, 469.00
940.00, 468.00
941.00, 467.00
941.00, 465.00
942.00, 464.00
942.00, 463.00
943.00, 462.00
943.00, 460.00
944.00, 459.00
944.00, 458.00
945.00, 457.00
945.00, 455.00
946.00, 454.00
946.00, 452.00
947.00, 451.00
947.00, 449.00
948.00, 448.00
948.00, 446.00
949.00, 445.00
949.00, 443.00
950.00, 442.00
950.00, 439.00
951.00, 438.00
951.00, 436.00
952.00, 435.00
952.00, 432.00
953.00, 431.00
953.00, 428.00
954.00, 427.00
954.00, 424.00
955.00, 423.00
955.00, 420.00
956.00, 419.00
956.00, 415.00
957.00, 414.00
957.00, 411.00
958.00, 410.00
958.00, 405.00
959.00, 404.00
959.00, 399.00
960.00, 398.00
960.00, 392.00
961.00, 391.00
961.00, 385.00
962.00, 384.00
962.00, 375.00
963.00, 374.00
963.00, 359.00
964.00, 358.00
964.00, 326.00
963.00, 325.00
963.00, 310.00
962.00, 309.00
962.00, 299.00
961.00, 298.00
961.00, 291.00
960.00, 290.00
960.00, 284.00
959.00, 283.00
959.00, 277.00
958.00, 276.00
958.00, 271.00
957.00, 270.00
957.00, 265.00
956.00, 264.00
956.00, 260.00
955.00, 259.00
955.00, 255.00
954.00, 254.00
954.00, 250.00
953.00, 249.00
953.00, 246.00
952.00, 245.00
952.00, 241.00
951.00, 240.00
951.00, 237.00
950.00, 236.00
950.00, 233.00
949.00, 232.00
949.00, 229.00
948.00, 228.00
948.00, 225.00
947.00, 224.00
947.00, 221.00
946.00, 220.00
946.00, 217.00
945.00, 216.00
945.00, 214.00
944.00, 213.00
944.00, 210.00
